,Filial,Servico,CEP
33231,J3 FLEX SP,AVULSO,01014-908
33232,J3 FLEX SP,AVULSO,01014-909
33233,J3 FLEX SP,AVULSO,01014-910
33234,J3 FLEX SP,AVULSO,01014-911
33235,J3 FLEX SP,AVULSO,01014-912
33236,J3 FLEX SP,AVULSO,01014-913
33237,J3 FLEX SP,AVULSO,01014-914
33238,J3 FLEX SP,AVULSO,01014-915
33239,J3 FLEX SP,AVULSO,01014-916
33240,J3 FLEX SP,AVULSO,01014-917
33241,J3 FLEX SP,AVULSO,01014-919
33242,J3 FLEX SP,AVULSO,01014-920
33243,J3 FLEX SP,AVULSO,01014-925
33244,J3 FLEX SP,AVULSO,01014-930
33245,J3 FLEX SP,AVULSO,01014-940
33246,J3 FLEX SP,AVULSO,01015-000
33247,J3 FLEX SP,AVULSO,01015-010
33248,J3 FLEX SP,AVULSO,01015-020
33249,J3 FLEX SP,AVULSO,01015-030
33250,J3 FLEX SP,AVULSO,01015-040
33251,J3 FLEX SP,AVULSO,01015-050
33252,J3 FLEX SP,AVULSO,01015-060
33253,J3 FLEX SP,AVULSO,01015-070
33254,J3 FLEX SP,AVULSO,01015-080
33255,J3 FLEX SP,AVULSO,01015-090
33256,J3 FLEX SP,AVULSO,01015-100
33257,J3 FLEX SP,AVULSO,01015-901
33258,J3 FLEX SP,AVULSO,01016-000
33259,J3 FLEX SP,AVULSO,01016-010
33260,J3 FLEX SP,AVULSO,01016-020
33261,J3 FLEX SP,AVULSO,01016-030
33262,J3 FLEX SP,AVULSO,01016-040
33263,J3 FLEX SP,AVULSO,01016-050
33264,J3 FLEX SP,AVULSO,01016-900
33265,J3 FLEX SP,AVULSO,01017-000
33266,J3 FLEX SP,AVULSO,01017-010
33267,J3 FLEX SP,AVULSO,01017-020
33268,J3 FLEX SP,AVULSO,01017-030
33269,J3 FLEX SP,AVULSO,01017-040
33270,J3 FLEX SP,AVULSO,01017-902
33271,J3 FLEX SP,AVULSO,01017-903
33272,J3 FLEX SP,AVULSO,01017-904
33273,J3 FLEX SP,AVULSO,01017-905
33274,J3 FLEX SP,AVULSO,01017-906
33275,J3 FLEX SP,AVULSO,01017-907
33276,J3 FLEX SP,AVULSO,01017-908
33277,J3 FLEX SP,AVULSO,01017-909
33278,J3 FLEX SP,AVULSO,01017-910
33279,J3 FLEX SP,AVULSO,01017-911
33280,J3 FLEX SP,AVULSO,01018-000
33281,J3 FLEX SP,AVULSO,01018-001
33282,J3 FLEX SP,AVULSO,01018-010
33283,J3 FLEX SP,AVULSO,01018-020
33284,J3 FLEX SP,AVULSO,01019-000
33285,J3 FLEX SP,AVULSO,01019-010
33286,J3 FLEX SP,AVULSO,01019-020
33287,J3 FLEX SP,AVULSO,01019-030
33288,J3 FLEX SP,AVULSO,01019-040
33289,J3 FLEX SP,AVULSO,01019-900
33290,J3 FLEX SP,AVULSO,01020-000
33291,J3 FLEX SP,AVULSO,01020-001
